B,4,6
B,6,20
D,4,22
B,4,10
E,3,8
B,3,9
C,5,16
C,5,10
D,2,21
F,6,8
F,5,23
A,5,14
K,2,21
B,2,25
D,6,17
D,6,17
F,5,18
B,5,5
D,6,24
C,2,8
D,6,6
L,6,21
D,3,22
C,5,18
B,4,6
D,5,16
D,5,17
C,4,17
J,3,3
D,2,25
B,4,25
C,6,11
B,5,8
D,4,6
B,4,22
B,3,13
C,2,5
D,3,22
M,4,25
D,2,4
B,3,21
B,3,6
B,5,6
C,2,11
C,6,10
D,6,6
A,2,16
D,2,8
B,5,19
D,6,12
C,6,16
F,6,18
B,2,22
B,3,16
E,2,16
D,5,8
B,5,10
M,5,11
D,6,10
B,4,23
B,4,6
D,3,11
C,3,13
D,5,18
B,5,14
H,3,15
G,3,8
E,5,25
F,2,19
D,3,25
C,5,10
B,5,22
F,4,16
C,6,19
D,2,3
J,5,19
C,2,4
E,3,4
E,2,14
B,4,24
B,3,9
B,2,15
F,5,7
M,2,20
D,4,16
B,3,23
B,2,18
A,5,9
G,4,5
F,2,18
B,2,13
D,5,12
F,3,24
B,5,7
F,6,15
I,2,6
I,3,16
F,2,5
C,4,6
B,3,16
